dialog_id,original_text,detected_brand,normalized_brand,confidence
529,по Яндекс. Маркету сказать не могу,по Яндекс. Маркету сказать не могу,яндекс маркет,0.99
529,"Собака все инструменты, точка ру","Собака все инструменты, точка ру",всеинструменты.ру,0.98
537,через озон у вас лестницу,через озон у вас лестницу,ozon,0.99
537,возврат мне на озоне написали,возврат мне на озоне написали,ozon,0.99
537,это все через озон,это все через озон,ozon,0.99
542,все инструменты точка ру,все инструменты точка ру,всеинструменты.ру,0.96
542,все инструменты точка ру все слитно пишется,все инструменты точка ру все слитно пишется,всеинструменты.ру,0.96
556,Клиент: ... мы купили у вас счетчик Меркурий? 231.,Клиент: ... мы купили у вас счетчик Меркурий? 231.,меркурий,0.99
556,"Менеджер: ... так это вот инатекс, счетчик Меркурий, 231 ...","Менеджер: ... так это вот инатекс, счетчик Меркурий, 231 ...",меркурий,0.99
558,"Да, да, да ТЕРМЕКС я его это сдал.","Да, да, да ТЕРМЕКС я его это сдал.",термекс,0.99
560,"А то есть он там, а как получить сертификат на на вот эту вот продукт на Легранд?","А то есть он там, а как получить сертификат на на вот эту вот продукт на Легранд?",legrand,0.99
561,мы берем уже точно мохито.,мы берем уже точно мохито.,makita,0.92
565,заказ на 15926 р прошла у вас оплата по заказу на компанию сегмент.,заказ на 15926 р прошла у вас оплата по заказу на компанию сегмент.,сегментэнерго,0.85
565,Можно ли забрать его в 1 из магазинов все инструменты на территории Питера?,Можно ли забрать его в 1 из магазинов все инструменты на территории Питера?,всеинструменты.ру,0.6
570,поддержка Яндекс. Маркета,поддержка Яндекс. Маркета,яндекс маркет,0.99
570,Озоновские заказы Яндекс. Маркет,Озоновские заказы Яндекс. Маркет,яндекс маркет,0.99
570,через Яндекс – только подменники,через Яндекс – только подменники,yandex,0.95
574,производителя ЗУБР 14,производителя ЗУБР 14,zubr,0.98
574,ЗУБР 79 р,ЗУБР 79 р,zubr,0.98
584,"Да, больше не работаем с бонусами Сбер, спасибо с 21 июня.","Да, больше не работаем с бонусами Сбер, спасибо с 21 июня.",sber,0.96
586,Яндекс,Яндекс,yandex,0.99
587,служба поддержки Яндекс. Маркет к нам обратился покупатель,служба поддержки Яндекс. Маркет к нам обратился покупатель,yandex,0.98
587,служба поддержки Яндекс. Маркет к нам обратился покупатель,служба поддержки Яндекс. Маркет к нам обратился покупатель,яндекс маркет,0.99
588,здесь у нас Монтана краска,здесь у нас Монтана краска,montana,0.99
588,BLACK+DECKER черно серая винная,BLACK+DECKER черно серая винная,black+decker,0.99
590,…трехступенчатый фильтр гейзер за 2240 р алло.,…трехступенчатый фильтр гейзер за 2240 р алло.,гейзер,0.96
590,"…у вас гейзер, фильтр, ступенчатый оптион для мягкой воды…","…у вас гейзер, фильтр, ступенчатый оптион для мягкой воды…",гейзер,0.96
590,…ступенчатый оптион для мягкой воды…,…ступенчатый оптион для мягкой воды…,оптион,0.94
591,распиловочный станок MAKITA он у вас 60 р стоит,распиловочный станок MAKITA он у вас 60 р стоит,makita,0.99
601,Клиент: Яндекс.,Клиент: Яндекс.,yandex,0.99
609,я через все инструменты на Яндексе заказал термос,я через все инструменты на Яндексе заказал термос,yandex,0.99
609,по вопросам Яндекса вам необходимо писать в поддержку Яндекс. Маркета,по вопросам Яндекса вам необходимо писать в поддержку Яндекс. Маркета,yandex,0.99
609,по вопросам Яндекса вам необходимо писать в поддержку Яндекс. Маркета,по вопросам Яндекса вам необходимо писать в поддержку Яндекс. Маркета,яндекс маркет,0.99
609,"Попробуйте написать в чат поддержки именно Яндекс. Маркета либо продавцу, который там указан","Попробуйте написать в чат поддержки именно Яндекс. Маркета либо продавцу, который там указан",яндекс маркет,0.99
609,Все инструменты Точка. Ру,Все инструменты Точка. Ру,всеинструменты.ру,0.98
611,в Смске мне пришел как бы вот эта звездочка там 626 10.,в Смске мне пришел как бы вот эта звездочка там 626 10.,звездочка,0.92
611,"Тандем СП, да у вас нет данного заказа","Тандем СП, да у вас нет данного заказа",тандем альянс,0.88
621,"Если не сын, так тогда кого нибудь попрошу UNI-T, значит, заказ 82 0 48.","Если не сын, так тогда кого нибудь попрошу UNI-T, значит, заказ 82 0 48.",uni-t,0.99
632,"Вот, а мне нужен ВИХРЬ.","Вот, а мне нужен ВИХРЬ.",вихрь,0.99
632,РЕСАНТА и DEKO.,РЕСАНТА и DEKO.,ресанта,0.99
632,РЕСАНТА и DEKO.,РЕСАНТА и DEKO.,deko,0.99
640,поддержка Яндекс. Маркет уточнить,поддержка Яндекс. Маркет уточнить,яндекс маркет,0.98
640,доступа к заказам оформлен на Яндекс. Маркете,доступа к заказам оформлен на Яндекс. Маркете,яндекс маркет,0.98
640,"все инструменты, точка ру","все инструменты, точка ру",всеинструменты.ру,0.95
644,от 1 июля 25 года 65 р в пользу Симас задолженность.,от 1 июля 25 года 65 р в пользу Симас задолженность.,simas,0.97
649,"Это Яндекс заказ, простите?","Это Яндекс заказ, простите?",yandex,0.96
649,"Да, через Яндекс.","Да, через Яндекс.",yandex,0.96
649,в чат с продавцом в Яндексе писать надо.,в чат с продавцом в Яндексе писать надо.,yandex,0.96
650,В любом магазине все инструменты точка ру с сохранением товарного вида с чеком либо с номером заказа.,В любом магазине все инструменты точка ру с сохранением товарного вида с чеком либо с номером заказа.,всеинструменты.ру,0.98
654,"Лунный Дмитрий, собака Яндекс. Точка ру.","Лунный Дмитрий, собака Яндекс. Точка ру.",yandex,0.98
659,"Это компания Старатель, мы заказали материал, все инструменты в городе Чебоксары.","Это компания Старатель, мы заказали материал, все инструменты в городе Чебоксары.",старатели,1.0
659,"Они, может, Реглайн просто не знают.","Они, может, Реглайн просто не знают.",реглайн,0.95
664,пружина стартера от CHAMPION т 523,пружина стартера от CHAMPION т 523,champion,0.99
665,измельчитель веток риоби раюби,измельчитель веток риоби раюби,риоби,0.4
670,"Так LIFAN 170 ф о с редуктором, да он есть в наличии у вас.","Так LIFAN 170 ф о с редуктором, да он есть в наличии у вас.",lifan,1.0
688,"Менеджер: ... возможно, на озоне, на Яндексе?","Менеджер: ... возможно, на озоне, на Яндексе?",ozon,0.99
688,"Менеджер: ... доставка от озона, от нашей компании.","Менеджер: ... доставка от озона, от нашей компании.",ozon,0.99
692,информацию передала в поддержку Озона.,информацию передала в поддержку Озона.,ozon,0.99
692,я на поддержку Озона тоже обращалась,я на поддержку Озона тоже обращалась,ozon,0.99
692,магазин все инструменты,магазин все инструменты,всеинструменты.ру,0.42
695,"Менеджер: Светлана, здравствуйте, **все инструменты, точка ру** Екатерина, чем могу помочь?","Менеджер: Светлана, здравствуйте, **все инструменты, точка ру** Екатерина, чем могу помочь?",всеинструменты.ру,0.99
696,"Клиент: Да, АГРОСТОК, да?","Клиент: Да, АГРОСТОК, да?",агросток,0.99
696,Менеджер: Так вижу организацию ООО АГРОСТОК.,Менеджер: Так вижу организацию ООО АГРОСТОК.,агросток,0.99
697,запчасти для Триммера HAMMER,запчасти для Триммера HAMMER,hammer,0.99
698,"Вопрос о том, что вернули AE&T вот этот шуруповерт, приняли его, что по как по браку, а куда средства вернули вопрос?","Вопрос о том, что вернули AE&T вот этот шуруповерт, приняли его, что по как по браку, а куда средства вернули вопрос?",ae&t,1.0
698,"я уточню теплофон, точка Дмитрий Джимейл.","я уточню теплофон, точка Дмитрий Джимейл.",теплофон,0.7
703,"Менеджер: Ну, вам на почту прислать, подскажите, Максим?","Менеджер: Ну, вам на почту прислать, подскажите, Максим?",maxim,0.96
703,"Менеджер: Так Эс Эм Вэ, собака Эс Эр Войл, Точка Ру, да?","Менеджер: Так Эс Эм Вэ, собака Эс Эр Войл, Точка Ру, да?",voylet,0.81
708,да собака Яндекс. Точка ру.,да собака Яндекс. Точка ру.,yandex,0.96
709,Ооо DELTA.,Ооо DELTA.,delta,0.98
718,"Вот 1 минуту, да вот прям слитно просто читаю Яндекс.","Вот 1 минуту, да вот прям слитно просто читаю Яндекс.",yandex,0.99
726,"Клиент: ... могу у вас попросить накладные, чтобы мне прислали по покупкам в вашем магазине на компанию триумф Альянс?","Клиент: ... могу у вас попросить накладные, чтобы мне прислали по покупкам в вашем магазине на компанию триумф Альянс?",триумф,0.92
727,"Вижу ваш заказ, а DEWALT, правильно?","Вижу ваш заказ, а DEWALT, правильно?",dewalt,0.99
727,"А в заказе, DEWALT.","А в заказе, DEWALT.",dewalt,0.99
728,бонусы Сбер,бонусы Сбер,sber,0.95
734,у вас аккумулятор MAKITA и Шуруповерт MAKITA,у вас аккумулятор MAKITA и Шуруповерт MAKITA,makita,1.0
735,"Менеджер: Добрый день, отдел поддержки сбер, чем могу помочь.","Менеджер: Добрый день, отдел поддержки сбер, чем могу помочь.",sber,0.99
737,у вас единственный заказ Рима,у вас единственный заказ Рима,рима,0.85
740,"Спасибо, спасибо, Спасибо, TURBOSKY.","Спасибо, спасибо, Спасибо, TURBOSKY.",turbosky,1.0
742,Трёхсекционная краузе Корда по циферкам,Трёхсекционная краузе Корда по циферкам,krause,0.96
742,Трёхсекционная краузе Корда по циферкам,Трёхсекционная краузе Корда по циферкам,корд,0.94
744,"Пила для MAKITA, цепь для MAKITA.","Пила для MAKITA, цепь для MAKITA.",makita,1.0
744,"цепь, может быть, нет на цепь да для пилы CHAMPION?","цепь, может быть, нет на цепь да для пилы CHAMPION?",champion,1.0
748,Так это вы все на A-IPOWER да заказывали угу?,Так это вы все на A-IPOWER да заказывали угу?,a-ipower,0.99
748,"Вышлите мне на почту, и у меня там на NAVIGATOR тоже вышлите.","Вышлите мне на почту, и у меня там на NAVIGATOR тоже вышлите.",navigator,0.98
748,У меня там на NAVIGATOR тоже вышлите.,У меня там на NAVIGATOR тоже вышлите.,navigator,0.98
753,Угу сверло по металлу FORCE.,Угу сверло по металлу FORCE.,force,0.96
757,"там ЗУБР, допустим, там AE&T, там что то такое вот?","там ЗУБР, допустим, там AE&T, там что то такое вот?",zubr,0.99
757,"там ЗУБР, допустим, там AE&T, там что то такое вот?","там ЗУБР, допустим, там AE&T, там что то такое вот?",ae&t,0.99
762,производство INGCO осталось,производство INGCO осталось,ingco,0.99
763,это аккумулятор DEWALT.,это аккумулятор DEWALT.,dewalt,0.99
771,вы делали заказ через Яндекс. Маркет,вы делали заказ через Яндекс. Маркет,яндекс маркет,1.0
773,"здесь вижу, что акция в АВИ момент по товару","здесь вижу, что акция в АВИ момент по товару",момент,0.78
773,что они озон дают дешевле. Даже просто неудобно с озоном,что они озон дают дешевле. Даже просто неудобно с озоном,ozon,0.96
774,"как компания ГАММА-ПЛАСТ, там запросы заявка на поставку.","как компания ГАММА-ПЛАСТ, там запросы заявка на поставку.",гамма-пласт,0.99
784,"Менеджер: ... 2 счетчика Меркурий, то оба заказа ...","Менеджер: ... 2 счетчика Меркурий, то оба заказа ...",меркурий,0.98
785,"Э бэ пэ, который штиль, да, да?","Э бэ пэ, который штиль, да, да?",штиль,0.9
786,"Менеджер: ... у вас был заказан Резолюкс. Хвостовик для коронок вижу, что уже добавили вам новую позицию в заказ.","Менеджер: ... у вас был заказан Резолюкс. Хвостовик для коронок вижу, что уже добавили вам новую позицию в заказ.",резолюкс,0.99
788,"Да, там вывеска белой буквы с Красной Обводкой все инструменты точка ру увидите, не пропустите.","Да, там вывеска белой буквы с Красной Обводкой все инструменты точка ру увидите, не пропустите.",всеинструменты.ру,0.98
790,"Кирилл, точка, а точка Федоров, собака, все инструменты, точка ру.","Кирилл, точка, а точка Федоров, собака, все инструменты, точка ру.",всеинструменты.ру,0.96
793,А насос автоматический PATRIOT был.,А насос автоматический PATRIOT был.,patriot,0.99
795,"Да, вижу то, что вот у вас 1 CROWN удлинитель гибкий, как бы пришел сейчас.","Да, вижу то, что вот у вас 1 CROWN удлинитель гибкий, как бы пришел сейчас.",crown,0.98
797,газонокосилку Гардена,газонокосилку Гардена,gardena,1.0
797,Гардена газонокосилка,Гардена газонокосилка,gardena,1.0
797,MAKITA,MAKITA,makita,1.0
797,графит,графит,graphite,0.98
797,гигант,гигант,gigant,0.98
797,инфорс,инфорс,inforce,0.97
812,"На партнер, собачка, все инструменты, точка ру.","На партнер, собачка, все инструменты, точка ру.",всеинструменты.ру,0.96
813,"заказ оформлен на Яндекс. Маркете, возврат данного товара оформляется также через Яндекс Маркет.","заказ оформлен на Яндекс. Маркете, возврат данного товара оформляется также через Яндекс Маркет.",яндекс маркет,0.99
813,можете оформить самостоятельно в приложении или связаться с поддержкой Яндекс Маркета.,можете оформить самостоятельно в приложении или связаться с поддержкой Яндекс Маркета.,яндекс маркет,0.99
815,Был заказ на маяк автофон Эс е + Казань.,Был заказ на маяк автофон Эс е + Казань.,автофон,0.98
815,Был заказ на маяк автофон Эс е + Казань.,Был заказ на маяк автофон Эс е + Казань.,маяк,0.98
816,Благодарю за ожидание да мойка ЭКОЭЛ 1240 р.,Благодарю за ожидание да мойка ЭКОЭЛ 1240 р.,экоэл,0.99
822,это я в Яндекс Маркет позвонил,это я в Яндекс Маркет позвонил,яндекс маркет,1.0
822,по Яндекс. Маркету хотели уточнить по заказу,по Яндекс. Маркету хотели уточнить по заказу,яндекс маркет,1.0
822,по Яндекс. Маркету,по Яндекс. Маркету,яндекс маркет,1.0
824,"Мы заказывали в Озоне, ну вы, продавец кулер, кулер не подошел.","Мы заказывали в Озоне, ну вы, продавец кулер, кулер не подошел.",ozon,0.99
824,"Если вы заказывали заказ, оформляли через Озон, вам нужно уточнить номер заказа в Озоне нашего внутреннего всеинструменты.ру заказа.","Если вы заказывали заказ, оформляли через Озон, вам нужно уточнить номер заказа в Озоне нашего внутреннего всеинструменты.ру заказа.",ozon,0.99
824,"Если вы заказывали заказ, оформляли через Озон, вам нужно уточнить номер заказа в Озоне нашего внутреннего всеинструменты.ру заказа.","Если вы заказывали заказ, оформляли через Озон, вам нужно уточнить номер заказа в Озоне нашего внутреннего всеинструменты.ру заказа.",всеинструменты.ру,0.98
824,"Это заказ Озона вам в поддержке, с вами нужно уточнить номер заказа, а всеинструменты.ру.","Это заказ Озона вам в поддержке, с вами нужно уточнить номер заказа, а всеинструменты.ру.",всеинструменты.ру,0.98
825,служба поддержки Яндекс. Маркета,служба поддержки Яндекс. Маркета,яндекс маркет,0.99
825,проблема Яндекс. Маркет,проблема Яндекс. Маркет,яндекс маркет,0.99
825,поддержка Яндекс,поддержка Яндекс,yandex,0.98
827,"Светильник да гигант, вот вижу.","Светильник да гигант, вот вижу.",gigant,0.95
827,"А вот почта, Рус Норд, собака инбокс нет.","А вот почта, Рус Норд, собака инбокс нет.",nord,0.7
832,Майл Ру,Майл Ру,mile,0.96
833,Клиент: Мне просто их соедините и вот на Овер.,Клиент: Мне просто их соедините и вот на Овер.,overcon,0.8
837,"Менеджер: Так транс логистик, да вы сказали?","Менеджер: Так транс логистик, да вы сказали?",transcom,0.62
839,"Менеджер: Добрый день, компания все инструменты, точка ру.","Менеджер: Добрый день, компания все инструменты, точка ру.",всеинструменты.ру,0.98
843,"Там должна быть табличка Все инструменты, обычно наши магазины у них отдельная висит табличка.","Там должна быть табличка Все инструменты, обычно наши магазины у них отдельная висит табличка.",всеинструменты.ру,1.0
846,Все инструменты точка ру да да да да.,Все инструменты точка ру да да да да.,всеинструменты.ру,0.98
846,"рядом будет вход в вейп Шоп, дракон также гастроярка.","рядом будет вход в вейп Шоп, дракон также гастроярка.",dragon,0.85
855,"я бы вот ну съездил бы, забрал бы там PROTHERM, грубо говоря.","я бы вот ну съездил бы, забрал бы там PROTHERM, грубо говоря.",protherm,0.99
859,это вот компания VIRA.,это вот компания VIRA.,vira,0.99
859,Инфорс компактная рулетка тоже 2 штуки,Инфорс компактная рулетка тоже 2 штуки,inforce,0.99
862,"я заказывал шпильки теч креп, гайки, теч креп","я заказывал шпильки теч креп, гайки, теч креп",tech-krep,0.99
876,"Менеджер: Ну вот, я сама вижу, Мерион, перчатки диэлектрические, верно?","Менеджер: Ну вот, я сама вижу, Мерион, перчатки диэлектрические, верно?",мерион,0.96
877,"Ну онлайн раньше было, можно было там Сбер.","Ну онлайн раньше было, можно было там Сбер.",sber,0.96
877,"У вас отменилось, это Сбер, спасибо баллами, можно было еще.","У вас отменилось, это Сбер, спасибо баллами, можно было еще.",sber,0.96
877,в данный момент данная акция приостановлена по сотрудничеству со Сбер,в данный момент данная акция приостановлена по сотрудничеству со Сбер,sber,0.96
878,Это вы с Озона заказывали или с Яндекса?,Это вы с Озона заказывали или с Яндекса?,ozon,0.99
878,Это вы с Озона заказывали или с Яндекса?,Это вы с Озона заказывали или с Яндекса?,яндекс алиса,0.85
878,Это заказывал я у вас все инструменты.,Это заказывал я у вас все инструменты.,всеинструменты.ру,0.98
879,"Менеджер: Могу перевести вас в отдел продаж, менеджер подберет масло, что есть в наличии, можем срочно доставить.","Менеджер: Могу перевести вас в отдел продаж, менеджер подберет масло, что есть в наличии, можем срочно доставить.",gigant,0.99
879,"Клиент: Выхода гарантийного обслуживания срока через год, то так как в нашем городе нету сервиса Гигант.","Клиент: Выхода гарантийного обслуживания срока через год, то так как в нашем городе нету сервиса Гигант.",gigant,0.99
879,Клиент: ... они мне втюхивают вот этот свой гигант.,Клиент: ... они мне втюхивают вот этот свой гигант.,gigant,0.99
881,...к какой то может платформе озона или Яндекса нет...,...к какой то может платформе озона или Яндекса нет...,яндекс алиса,0.95
881,...к какой то может платформе озона или Яндекса нет...,...к какой то может платформе озона или Яндекса нет...,ozon,0.97
882,"А почему через Яндекс, через Яндекс. Маркет, да по-моему, если заказываешь она 108 р.","А почему через Яндекс, через Яндекс. Маркет, да по-моему, если заказываешь она 108 р.",yandex,0.99
882,"А почему через Яндекс, через Яндекс. Маркет, да по-моему, если заказываешь она 108 р.","А почему через Яндекс, через Яндекс. Маркет, да по-моему, если заказываешь она 108 р.",яндекс маркет,0.99
885,вижу ваш заказ сварочный полуавтомат РЕСАНТА.,вижу ваш заказ сварочный полуавтомат РЕСАНТА.,ресанта,0.99
888,"все инструменты, точка ру!","все инструменты, точка ру!",всеинструменты.ру,0.98
894,"я уже 10 раз пожалела, что связалась с Яндекс.","я уже 10 раз пожалела, что связалась с Яндекс.",yandex,0.99
894,Взаимодействие с Яндекс.,Взаимодействие с Яндекс.,yandex,0.99
897,"Менеджер: Эльдо, здравствуйте, все инструменты, точка ру!","Менеджер: Эльдо, здравствуйте, все инструменты, точка ру!",всеинструменты.ру,0.98
900,"Менеджер: ... я могу вас отремонтировать газонокосилку, электрическую **алко**, комфорт 40 Яна.","Менеджер: ... я могу вас отремонтировать газонокосилку, электрическую **алко**, комфорт 40 Яна.",al-ko,0.96
900,"Менеджер: ... я могу вас отремонтировать газонокосилку, электрическую алко, **комфорт** 40 Яна.","Менеджер: ... я могу вас отремонтировать газонокосилку, электрическую алко, **комфорт** 40 Яна.",comfort,0.93
900,Клиент: Алко **комфорт** 40 е.,Клиент: Алко **комфорт** 40 е.,comfort,0.93
914,"Менеджер: ... у вас батарейка Панасоник, она 18 августа включительно.","Менеджер: ... у вас батарейка Панасоник, она 18 августа включительно.",panasonic,0.99
917,"Сбербанк, обработка идет на сумму 472?","Сбербанк, обработка идет на сумму 472?",sber,0.99
918,"Так вы от TESTO, верно?","Так вы от TESTO, верно?",testo,0.99
920,"Все инструменты, точка ру.","Все инструменты, точка ру.",всеинструменты.ру,0.98
920,А все интернет точка ру магазин так и называется.,А все интернет точка ру магазин так и называется.,всеинструменты.ру,0.98
928,Клиент: Веста.,Клиент: Веста.,vista,0.6
928,Клиент: Веста.,Клиент: Веста.,окб веста,0.6
931,через Яндекс. Маркет,через Яндекс. Маркет,яндекс маркет,0.95
931,на Яндекс. Маркете,на Яндекс. Маркете,яндекс маркет,0.95
934,"…Последние цифры: батарейка алкалиновая, 3 а 1 штука и **навигатор**, муляж видеокамеры 2 штуки.","…Последние цифры: батарейка алкалиновая, 3 а 1 штука и **навигатор**, муляж видеокамеры 2 штуки.",navigator,0.96
934,"…Хатер электропила аккумуляторная, 1 штука, стоимость 5 590.","…Хатер электропила аккумуляторная, 1 штука, стоимость 5 590.",hunter,0.94
944,"Сами через Яндекс Гоу, к примеру, через приложение.","Сами через Яндекс Гоу, к примеру, через приложение.",яндекс go,0.99
944,"Только сторонние компании, например Яндекс курьером.","Только сторонние компании, например Яндекс курьером.",yandex,0.99
950,поддержка Яндекс. Маркета,поддержка Яндекс. Маркета,яндекс маркет,0.99
953,"Менеджер: Иван Юрьевич, здравствуйте, **все инструменты Точка ру** Екатерина, чем могу помочь?","Менеджер: Иван Юрьевич, здравствуйте, **все инструменты Точка ру** Екатерина, чем могу помочь?",всеинструменты.ру,0.99
955,"Хотел фильтр барьер, эксперт, смягчение.","Хотел фильтр барьер, эксперт, смягчение.",барьер,0.92
955,"Хотел фильтр барьер, эксперт, смягчение.","Хотел фильтр барьер, эксперт, смягчение.",эксперт,0.92
956,"Менеджер: Артем, здравствуйте, все инструменты. Точка ру Екатерина, чем могу вам помочь?","Менеджер: Артем, здравствуйте, все инструменты. Точка ру Екатерина, чем могу вам помочь?",всеинструменты.ру,0.98
958,GREENWORKS вы переоформили триммер электрический,GREENWORKS вы переоформили триммер электрический,greenworks,0.99
958,газонокосилка BOSCH 9 990,газонокосилка BOSCH 9 990,bosсн,0.99
958,принят в обработку заказ звездочка 36 625,принят в обработку заказ звездочка 36 625,звездочка,0.95
965,ТК Вольт,ТК Вольт,volts,0.92
966,"А с Павлом все хорошо поняла, сейчас давайте попробуем GREENWORKS.","А с Павлом все хорошо поняла, сейчас давайте попробуем GREENWORKS.",greenworks,0.99
966,Так Тара ру мусорный контейнер там про него говорим?,Так Тара ру мусорный контейнер там про него говорим?,тара.ру,0.98
968,Аккумуляторный триммер KARCHER.,Аккумуляторный триммер KARCHER.,karcher,0.99
968,"И бренд KARCHER ввести, и он выдаст адрес.","И бренд KARCHER ввести, и он выдаст адрес.",karcher,0.99
973,"Так сейчас я посмотрю BAXI, могу к вам обращаться BAXI сейчас","Так сейчас я посмотрю BAXI, могу к вам обращаться BAXI сейчас",baxi,0.99
974,"Как я понимаю, свои Яндекс Маркет есть?","Как я понимаю, свои Яндекс Маркет есть?",яндекс маркет,0.99
975,в Озоне я нашел дешевле,в Озоне я нашел дешевле,ozon,0.99
975,Озоновский код товара,Озоновский код товара,ozon,0.99
976,Там 2 фильтра гейзер они не пригодились.,Там 2 фильтра гейзер они не пригодились.,гейзер,0.95
980,"Через сайт стартер на автомобиль, START фирмы это автономный.","Через сайт стартер на автомобиль, START фирмы это автономный.",старт,0.99
980,Заказал стартер START.,Заказал стартер START.,старт,0.99
983,"Так давайте, собака, все инструменты, точка ру.","Так давайте, собака, все инструменты, точка ру.",всеинструменты.ру,0.98
983,"Вас, Виктор Орлов, собака, все инструменты точка ру, да?","Вас, Виктор Орлов, собака, все инструменты точка ру, да?",всеинструменты.ру,0.98
999,служба поддержки Яндекс Маркета,служба поддержки Яндекс Маркета,яндекс маркет,1.0
